cluster,answer
23,"Non-Consecutive Repetition Operator:Nonconsecutive repetition specifies finitely many iterative matches of the operand boolean expression, with a delay of one or more clock ticks from one match of the operand to the next successive match and no match of the operand strictly in between.
This is very similar to “go to” repetition except that it does not require the last match on the signal repetition to happen in the clock cycle before the end the entire sequence match.
Property non_consecutive_repeatation_p check, when the positive edge of signal “a” is detected, check for signal “b” to be high continuously or intermittently for 3 clock cycles, followed by signal “c “ to be high in any cycle after that while signal “b” remains low.
Syntax:
Signal_name1 [=n] ##1 signal_name2
Examples:
property goto;
   @(posedge clk)$rose(a)|->b[=3]##1c;
endproperty
---------------------------------------------
***Non-Consecutive repetition operator[=n]
@(posedge clk) $rose(a) |=>##1(b[=2])##1c;
*If  there is a rise in a at posedge ,then after two cycles,this checker will make sure that b is high for atleast two clock cycles before c becoming high
*No restriction on number of cycles between b and c
***Non-Consecutive repetition operator[=min:max]
@(posedge clk) $rose(a) |=>##1(b[=2:4])##1c;
*If  there is a rise in a at posedge ,then after two cycles,this checker will make sure that b is high for two clock  to four cycles before c becoming high
*No restriction on number of cycles between b and c"
24,"The go-to repetition operator is used to specify that a signal will match the number of times specified not necessarily on continuous clock cycles.
Syntax:
                     signal [->n]
Example:
property p;
  @(posedge clk) a |-> ##1 b[->3] ##1 c;
endproperty
a: assert property(p);
The above property checks that, if the signal “a” is high on given posedge of the clock, the signal “b” should be high for 3 clock cycles followed by “c” should be high after” b” is high for the third time."
25,"The binary and operator are used when two sequence operands are expected to match, but the end time of both operand sequences can be different
Syntax:
       <seq_exp> and <seq_exp>
The requirement for and operation match
1.Both operand sequences should start at the same time.
2.Both operands must match. In case one operand matches, it waits for another operand to match.
3.The end time of the resultant or composite sequence is the end time of the operand that finishes last.
Example for AND of two sequences
(a1 ##1 a2) and (a3 ##1 a4 ##2 a5)
Explanation
Let’s consider a1 ##1 a2 as operand A and a3 ##1 a4 ##2 a5 as operand B.
a1 ##1 a2 (Operand A): The a1 evaluates to true followed by a2 one clock tick matches at clock tick 7
a3 ##1 a4 ##2 a5 (operand B): The operand a3 evaluates to true followed by a4 one clock tick later, followed by a5 two clock ticks later i.e., at clock tick 9.
(a1 ##1 a2) and (a3 ##1 a4 ##2 a5): The resultant sequence is said to be matched when both above operand sequence matches. The end times of matches for individual operand sequences A and B are clock ticks 7 and 9 respectively.
The resultant sequence match should follow the conditions like individual operand sequences should start at the same clock tick (clock tick 6) and the end time of the last finishing operand sequence will be the end time of the resultant sequence (clock tick 9).
An important point to note here: The two operand sequences need not be matched at the same number of clock ticks.

"
26,"The binary intersect operator is used when two sequence operands are expected to match, and the end time of both operand sequences must be the same
Syntax:
      <seq_exp> intersect <seq_exp>
The requirement for intersect operation match
1.Both operand sequence lengths must be the same.
2.Both operands must match. In case one operand matches, it waits for another operand to match.
3.The end time of the resultant or composite sequence is equal to the end time of the matched operand sequences
Example for Intersection of two sequences
(a1 ##[1:4] a2) intersect (a3 ##1 a4 ##2 a5)
Explanation
a1 ##[1:4] a2: The first operand a1 evaluates to true followed by a2 which evaluates to true for 1,2,3, or 4 clock ticks later. So, sequence matches at clock ticks 7,8,9, and 10 respectively.
a3 ##1 a4 ##2 a5: The operand a3 evaluates to true followed by a4 one clock tick later, followed by a5 two clock ticks later i.e., at clock tick 9.
(a1 ##1 a2) intersect (a3 ##1 a4 ##2 a5): The resultant sequence is matched at clock tick 9 as both of individual operand sequence has matched.
"
56,An expect statement works in a procedural way like a single thread that unblocks after property evaluation (does not matter success or fail) whereas assert works concurrently like a separate thread and behaves in a non-blocking manner.
55,"The assertion can be written as a part of the design code. A designer or verification engineer can plan for adding an assertion. It is not a flexible and recommended way to have assertions in the design files since designers do want to change their code by the verification team. System Verilog provides flexibility to write assertions in separate files in the testbench and then bind the same design file.
The ‘bind’ directive allows binding assertions with
1.	Design module
2.	Interface 
Binding is possible with
1.	A specific instance of a module or interface
2.	All instances of a module or interface  Syntax:
To bind with specific instance:
              bind <dut_specific_instance_path> <assertion_module> <instance>  To bind with all instances:
              bind <dut_module> <assertion_module> <instance>"
54,"The cover statement is used to gather coverage information for the specified sequences or properties 
Syntax:
       cover property (<sequence>) <statement_or_null>
Cover statement example:
cover_prop: cover property (pro) $display (""The pro property executed"");
property pro;
  req1 |=> req2
endproperty+B5"
53,"The assume statement allows properties to be considered as assumptions for dynamic simulation tools and formal analysis.For a simulation environment, assume the statement is the same as an assert statement that checks assumed property and reports success or failure.For formal analysis, an assumed proper+B5ty can be considered as a hypothesis to prove asserted property without having any bound. 
  Syntax:
       <assume_label>: assume <property>
Assume statement example:
assume_a2: assume property (pro);
property pro;
  @ (posedge clk) req1 ##4 req2;
endproperty
//is same as
assume_a1: assume property (@ (posedge clk) req1 ##4 req2);
"
52,"The expect statement is a procedural blocking statement that is like an assert statement and used to block the execution until the property is evaluated. 
 Syntax:
              expect (property or sequence) <statements> Usage: To execute some procedural code after a series of sequences.
Note: The “expect” statement does not infer the clock from its procedural block, it must be explicitly specified in the sequence/ property or within the expect statement.

Example 1: clock specified within the expect statement
initial begin
  #100;
  expect (@ (posedge clk) req1 ##2 req2) else $error ""expect failure"");
  <statement>;
End

After 100-time units, whenever posedge of a clock happens, req1 is true, followed by 2 clock cycles, req2 is true to pass the expect statement (otherwise, it fails), and then only <statement> can be executed."
51,"$asserton () is by default set that keeps assertion enabled by default. The $asserton can also be called after assertoff () or $assertkill () to enable assertion once again. 
Syntax:
      $asserton (level, <list of modules/ instance/ assertion_identifier>); 
 where, the level represents up to what level of hierarchy from module or instance assertion can be turned on/ off.assertion _identifier represents a label used with assert or property.
level = 0: This turns on/off assertions at all levels below the current instance or module.
level = n: This turns on/off assertions at ‘n’ hierarchical levels below the current instance or module. 
 Example: Generally, assertions are turned off when reset is asserted as shown below.
module control_assertion ();
  Initial begin
    @(posedge rst) $assertoff (0, tb_top.DUT); // To disable assertion for all levels on active high reset
    @(negedge rst) $asserton (0, tb_top.DUT);  // To enable assertion for all levels on active high reset
  end
endmodule
"
50,"$assertkill () – It is used to kill currently executing assertions.  
Syntax:
      $assertkill (level, <list of modules/ instance/ assertion_identifier>);
where, the level represents up to what level of hierarchy from module or instance assertion can be turned on/ off.
“assertion _identifier” represents a label used with assert or property.
level = 0: This turns on/off assertions at all levels below the current instance or module
level = n: This turns on/off assertions at ‘n’ hierarchical levels below the current instance or module.

Example: Generally, assertions are turned off when reset is asserted as shown below.
module control_assertion ();
  Initial begin
    @(posedge rst) $assertkill(0, tb_top.DUT); // To disable assertion for all levels on active high reset
    @(negedge rst) $asserton(0, tb_top.DUT);  // To enable assertion for all levels on active high reset
  end
endmodule

"
49,"$assertoff () – It is used to turn off assertions temporarily at the module or instance level.
Syntax:
      $assertoff (level, <list of modules/ instance/ assertion_identifier>);
where, the level represents up to what level of hierarchy from module or instance assertion can be turned on/ off.
assertion _identifier represents a label used with assert or property.
level = 0: This turns on/off assertions at all levels below the current instance or module.
level = n: This turns on/off assertions at ‘n’ hierarchical levels below the current instance or module.

Example: Generally, assertions are turned off when reset is asserted as shown below.
module control_assertion ();
  Initial begin
    @(posedge rst) $assertoff(0, tb_top.DUT); // To disable assertion for all levels on active high reset
    @(negedge rst) $asserton(0, tb_top.DUT);  // To enable assertion for all levels on active high reset
  end
endmodule"
48,"The $countones returns the count of ones in an expression.
Syntax:
             $countones(<expression>)
Example: For an error in the transaction, the data [3:0] signal value is expected to be 4‘hF. Below assertion checks all bit sets in case, an error is detected.
property pro;
  @posedge(clk) (valid & error) |-> ($countones(data) == 4);
endproperty
Note: countones do not count x or z values in an expression."
47,"The $isunknown returns true if any bit of an expression or signal is x or z.
Syntax:
            $isunknown(<expression>)
Example: When en bit is set, addr and data signal should not have x or z value.
property prop;
  @posedge(clk) en|-> not($isunknown({data, addr}));
endproperty
"
46,"The $onehot0 returns true if at most one bit of an expression/ single is high (i.e., all bits are 0 or at least one bit is 1) otherwise for an expression/signal that has x or z value, $onehot0 will fail.
Syntax:
             $onehot0(<expression>)"
45,"The $onehot returns true if a single bit of an expression/ single is high, otherwise for an expression/ signal has x or z value, $onehot will fail.
Syntax:
                $onehot(<expression>)
Design requirement:
To read data from SRAM, there can be multiple requests from various sources. There can be only one done signal along with a ready signal.
property pro;
  @posedge(clk) disable iff (rst) ready |-> $onehot(done)
endproperty

Whenever ready is high at the same cycle, the done signal should have at least one bit to be high.
"
44,"1)   $onehot(expression) : checks that only one bit of the expression can be high on any given clock edge.
2)  $onehot0(expression):  checks only one bit of the expression can be high or none of the bits can be high on any given clock edge.
3)  $isunknown(expression): checks if any bit of the expression is X or Z.
4)  $countones(expression): counts the number of bits that are high in a vector.
"
43,"The $past() function is used to sample/ return the value of an expression or signal for the given number of clock cycles in the past
Syntax:
$past(<expression>, <number_of_cycles>, <gating_expression>, <clock_event>);
1) The default value for the number of clock cycles is 1 if not specified.
2) The gating expression is an optional expression for the clocking event.
3) A clocking event is also an optional event. It will infer an assertion or property clocking event if it is not specified.
Design specification
For a request, ready should be asserted after 3 clock cycles. In another way, req should be set 3 clock cycles before ready is asserted.
                               property prop;
                                     $rose(ready) |->  $past(req, 3);
                               endproperty

Example in procedural block
The previous cycle value of the req signal is used in the below example.
                             always @(posedge clk) begin
                                    out <= ack & $past(req);
                              end
"
42,"If there is no change in the value of an expression from the previous clocking event value than the $stable function returns true, otherwise returns false.
Syntax:
$stable (expression, <clocking_event>)
Example: When valid is set, associated data is expected to be true.
property prop;
  valid |-> $stable(wdata);
endproperty

Example in procedural block
always @(posedge clk) begin
  if(!($stable(data) && valid)) $display(""data is not stable when valid is high"");
end"
41,"If there is a change in the least significant bit (LSB) of an expression from 1 or x or z (previous clocking event value) to 0, then the $fell function returns true, otherwise returns false.
Syntax:
              $fell (expression, <clocking_event>)
Design specification:
If the signal reset goes low (means reset is removed) then data should not be X or Z
property prop;
  $fell(reset) |-> not($isunknown(data));
endproperty
 
Example in procedural block
always @(posedge clk) data = $fell(reset)? 0: x;
Example for continuous assignment
assign out = $fell(in1 & in2, @posedge clk);
"
40,"If there is a change in the least significant bit (LSB) of an expression from 0 or x or z (previous clocking event value) to 1, then the $rose function returns true, otherwise returns false.
Syntax:
$rose (expression, <clocking_event>) 
Example in procedural block
always @(posedge clk) out <= $rose(ack) & valid;
Example for continuous assignment
assign out = $rose(ack, @posedge clk);"
39,"For accessing the sampling values of an expression, there are few system functions provided by System Verilog.System functions can be used to access current sampled values., past sampled values, and capture changes in the sampled values.
The sample value function can be written in the assertions as well as inside procedural blocks.
SVA Methods
• $rose
•  $fell
• $stable
• $past"
38,"For accessing the sampling values of an expression, there are few system functions provided by System Verilog.
System functions can be used to access current sampled values., past sampled values, and capture changes in the sampled values.
The sample value function can be written in the assertions as well as inside procedural blocks.
SVA Methods
• $rose
• $fell
• $stable
• $past"
37,"A property is said to be recursive if its declaration has its own instantiation.
property p1(req);
  req2 or (en |-> ##1 p1(req));
endproperty
This property specifies that either req2 should be high or when en is high then property p1 should be true.
Note:
1.The recursive property must include some time interval otherwise, the simulation will get stuck in an infinite recursion loop.
2.The ‘not’ and ‘disable iff’ operators can not be used in a recursive property.

Example with not operator
property p1(req);
  req2 or (en |-> ##1 p1(req));
endproperty

property illegal_prop1(req);
  not p1(req); // Illegal usage
endproperty"
36,"Instantiation of property in another property:
The property expression can be instantiated in another property as shown in the below example.
Instantiation of property in another property example
property p1(req1, req2);
  req1 |-> req2;
endproperty

property p2;
  @(posedge clk);
  Req3 ##2 |=> 
    if(en)
      p1(req1, req2)
    else out = 0;
endproperty



"
35,"On a successful match of a sequence, task or function (including system task/function) can be called.
Calling functions or tasks in a sequence example:
On matching a sequence, function func is called and its return value is stored locally in variable value and system task $display is used to print the local variable.
sequence seq;
  logic value;
 req1 ##1 (req2, value = func, $display(""Output of function value = %0h"", value)) ;
endsequence
"
34,"The local variables in a sequence or properties are like local variables in the function or task.
1. Local variables are dynamically created inside sequence instance and removed at the end of the sequence
2. Each sequence instance has its copy. Hence, the sequence can not access the local variable declared in another instance.
Local variable in a sequence example 1:
Consider a computing unit that reads data from a flip flop in 1 clock cycle, increments read data by 10, and writes it to the SRAM memory after 5 clock cycles.
sequence seq;
  int tmp_data;
  (##1 ff_rdata, tmp_data = ff_rdata) ##5 (sram_wdata == (tmp_data+1));
Endsequence
"
33,"ended in sequence:
The endpoint of sequence detection returns true if the previously started sequence (another sequence) reaches the endpoint when the current sequence is under execution at that particular point in time else it returns false.
Syntax:
  <sequence>. ended
ended in sequence example:
sequence seq1;
  @(posedge clk) $rose(en) ##1 req1 ## req2;
endsequence
sequence seq2;
  @(posedge clk) reset ##2 seq1.ended ##1 ack;
Endsequence

Once reset goes high, after 2 clock cycles seq1 has to be ended and after 1 clock cycle ack is expected to come.
"
32,"The if(expression) is used to select property expressions based on the if condition.
It is generally used in properties with implication operator-based assertions.
Syntax:
if(expression)
  <property_exp1>
else
  <property_exp2>;
if expression in property example
property prop;
  @(posedge clk) (req1 || req2) |-> 
  if(req1)
    (##1 ack1)
  else
   (##2 ack2);
endproperty
"
31,"Not Operator in an assertion:
The not operator is used to express the non-occurrence of the sequence.
Syntax:
                  not (<seq_exp>);
not operator example:
sequence seq;
  req1 ## valid;
endsequence
property prop;
  @(posedge clk) !en |-> (not (seq));
endproperty
assert property prop;"
30,"The within operator is used to express the containment of a sequence within another sequence.
Syntax:
           <seq_exp> within <seq_exp>
The construct seq1 within seq2 is an abbreviation for
[1[*0: $] ##1 seq1 ##1 q[*0:$]] intersect seq2
The “seq1 within seq2” matches for a finite interval of consecutive clock ticks if seq2 matches along with the complete interval and seq1 matches for sub-interval of consecutive clock tick and must satisfy the below conditions
1. The start point of the match of seq1 must be greater than or equal to the start point of the match of seq2.
2. The endpoint of the match of seq1 must be less than or equal to the endpoint of the match of seq2.
within operator example:
valid [*5] within (($rose req) ##1 req [*6])
 Explanation:
When valid is low consecutively for 5 cycles within req goes high and followed by 1 clock cycle req signal stays high for 6 cycles. The above sequence matches if req remains set for 6 clock cycles and valid is set for 5 consecutive clock cycles within the same window. "
29,"The throughout operator is used under circumstances where the occurrence of certain values is prohibited while processing a transaction
The construct exp throughout seq is an abbreviation for
                            exp [*0: $] intersect seq;
The “exp throughout seq” matches along with finite consecutive clock ticks when seq matches along with the interval and exp also evaluates to true for each clock tick of the interval.
throughout operator Example:
sequence en_rule;
  @(posedge clk) $rose (en) ##0
  (en) throughout (##2 (req && valid)) [*5]);
endsequence
 Explanation:
The signal en is low at clock tick 1 and high at clock tick 2, $rose(en) is true at clock tick 2.
To complete match of en_rule, the en signal is required to be high throughout a match of the subsequence (##1 (req && valid)) [*5]). In the above diagram, the en signal goes low before consecutive 5 clock cycles when req and valid signals are high then it is a violation of the en_rule.
"
28,"The first_match operator matches only for the first match out of all possible multiple matches.
Syntax:
                 first_match(<seq_exp>)
The evaluation attempt for seq_expression happens on the same clock cycle when the first_match operator is evaluated.
The first_match(<seq_exp>) produces no match when <seq_exp> produces no match The first_match(<seq_exp>) produces a match when the earliest match happens for <seq_exp> for the same clock tick.
first_match operator example

sequence seq;
  first_match (req1 ## [1:4] req2);
endsequence
This is equivalent to
                 req1 ##1 req2
                 req1 ##2 req2
                 req1 ##3 req2
                  req1 ##4 req2
"
27,"The binary or operator is used when at least one of the two sequence operands is expected to match.
Syntax:
           <seq_exp> or <seq_exp>
The requirement for or operation match
1.Both operand sequences should start at the same time.
2.The resultant or composite sequence match when either seq1 or seq2 matches
3.The end time of the resultant or composite sequence is the end time of the operand that finishes last.
Example for OR of two sequences
                         (a1 ##1 a2) or (a3 ##1 a4 ##2 a5)
Explanation
Let’s consider a1 ##1 a2 as operand A and a3 ##1 a4 ##2 a5 as operand B.
a1 ##1 a2 (Operand A):  The a1 evaluates to true followed by a2 one clock tick matches at clock tick 7
a3 ##1 a4 ##2 a5 (operand B):  The operand a3 evaluates to true followed by a4 one clock tick later, followed by a5 two clock ticks later i.e., at clock tick 9.
(a1 ##1 a2) and (a3 ##1 a4 ##2 a5):  The resultant sequence is said to be matched when both above operand sequence matches. The end times of matches for individual operand sequences A and B are clock ticks 7 and 9 respectively.
The resultant sequence match should follow the conditions like individual operand sequences should start at the same clock tick (clock tick 6) and either of two operand sequences should match (clock ticks 7 and 9).


"
58,"Here is the code written in system verilog using online platform edaplayground(https://edaplayground.com/)

module assertion_nonoverlapped;
  bit clk,a,b;
  always #5 clk = ~clk; //clock generation
  //generating 'a'
  initial begin 
        a=1; b=1;
    #15 a=0; b=0;
    #10 a=1; b=0;
    #10 a=0; b=0;
    #10 a=1; b=1;
    #10;
    $finish;
  end
  property p;
    @(posedge clk) a |=> b;
  endproperty
  
  //calling assert property
  a_1: assert property(p);
    
  //wave dump
  initial begin 
    $dumpfile(""dump.vcd""); $dumpvars;
  end
endmodule
Link for execution:https://www.edaplayground.com/x/Ve8U"
57,"Here is the code written in system verilog using online platform edaplayground(https://edaplayground.com/)

module asertion_overlapped;
  bit clk,a,b;
  always #5 clk = ~clk; //clock generation
  //generating 'a'
  initial begin 
        a=1; b=1;
    #15 a=0; b=0;
    #10 a=1; b=0;
    #10 a=0; b=0;
    #10 a=1; b=1;
    #10;
    $finish;
  end
  
  property p;
    @(posedge clk) a |-> b;
  endproperty
  
  //calling assert property
  a_1: assert property(p);
    
  //wave dump
  initial begin 
    $dumpfile(""dump.vcd""); $dumpvars;
  end
endmodule
Link for execution:https://www.edaplayground.com/x/8akR"
